destination,destination_type,from_location,state,region,trip_type,transport,season,num_days,budget,accommodation_cost,food_cost,entry_fee,travel_time,rating,total_cost,feasible
Konark,Heritage,Lucknow,Odisha,East,Senior,Flight,Monsoon,10,40756,1560,520,500,10.0,4.6,21300,1
Mathura Vrindavan,Spiritual,Pune,Uttar Pradesh,North,Senior,Flight,Monsoon,7,12119,1560,520,0,4.0,4.3,14560,0
Dooars,Wildlife,Pune,West Bengal,East,Family,Bus,Autumn,4,23912,5000,1375,300,11.0,4.4,25800,0
Bhitarkanika,Wildlife,Hyderabad,Odisha,East,Couple,Car,Autumn,9,32843,2550,765,200,9.0,4.5,30035,1
Dooars,Wildlife,Bangalore,West Bengal,East,Family,Train,Monsoon,2,8380,5000,1375,300,11.0,4.4,13050,0
Kesaria,Heritage,Ahmedabad,Bihar,East,Couple,Bus,Summer,5,11694,1700,510,50,11.0,4.1,11100,1
Kangla Fort,Heritage,Mumbai,Manipur,Northeast,Couple,Flight,Summer,7,10332,2380,680,50,20.0,4.3,21470,0
Ropar,Heritage,Pune,Punjab,North,Solo,Flight,Autumn,2,6122,1300,400,50,4.0,4.0,3450,1
Nohkalikai Falls,Nature,Lucknow,Meghalaya,Northeast,Senior,Bike,Spring,8,41279,1950,520,50,17.0,4.7,19810,1
Pelling,Hill Station,Mumbai,Sikkim,Northeast,Solo,Bike,Monsoon,5,6619,1800,520,50,17.0,4.5,11650,0
Anandpur Sahib,Spiritual,Kolkata,Punjab,North,Couple,Train,Monsoon,6,32499,2210,680,0,7.0,4.5,17340,1
Mahabalipuram,Heritage,Ahmedabad,Tamil Nadu,South,Senior,Flight,Summer,5,24896,2340,650,400,6.0,4.5,15350,1
Pawapuri,Spiritual,Hyderabad,Bihar,East,Solo,Bus,Summer,4,7099,1100,300,0,11.0,4.3,5600,1
Old Goa Churches,Heritage,Mumbai,Goa,West,Couple,Flight,Monsoon,10,55210,3400,1020,0,4.0,4.5,44200,1
Kerala Backwaters,Nature,Hyderabad,Kerala,South,Family,Train,Winter,4,22745,7500,1750,50,10.0,4.7,37050,0
Pawapuri,Spiritual,Jaipur,Bihar,East,Solo,Train,Spring,7,17684,1100,300,0,11.0,4.3,9800,1
Jallandhar Beach,Beach,Hyderabad,Daman & Diu,West,Senior,Car,Spring,3,5495,2600,715,0,5.0,4.2,9945,0
Kabini,Wildlife,Ahmedabad,Karnataka,South,Solo,Car,Monsoon,6,12138,4000,900,500,5.0,4.7,29900,0
Faridabad,Nature,Jaipur,Haryana,North,Senior,Bus,Autumn,3,15472,1950,585,50,1.0,3.9,7655,1
Panhala Fort,Heritage,Delhi,Maharashtra,West,Couple,Train,Monsoon,3,21671,2550,765,50,6.0,4.2,9995,1
Udaipur,Heritage,Ahmedabad,Rajasthan,North,Family,Flight,Monsoon,9,59346,5500,1500,250,8.0,4.6,63250,0
Dongargarh,Spiritual,Pune,Chhattisgarh,Central,Couple,Bus,Winter,4,12670,2040,595,0,7.0,4.2,10540,1
Sambalpur,Heritage,Chennai,Odisha,East,Couple,Train,Autumn,2,2780,2550,765,50,9.0,4.2,6680,0
Srikalahasti,Spiritual,Chennai,Andhra Pradesh,South,Family,Car,Autumn,8,18164,3000,875,100,5.0,4.3,31100,0
Arambol,Beach,Jaipur,Goa,West,Couple,Bus,Spring,9,83093,3400,1020,0,5.0,4.3,39780,1
Namdapha,Wildlife,Mumbai,Arunachal Pradesh,Northeast,Couple,Flight,Summer,8,48412,2720,765,200,24.0,4.5,28080,1
Jowai,Nature,Kolkata,Meghalaya,Northeast,Family,Bike,Autumn,2,8284,3500,1000,0,17.0,4.2,9000,0
Kedarnath,Spiritual,Delhi,Uttarakhand,North,Senior,Bus,Winter,4,12134,1950,585,0,13.0,4.7,10140,1
Muktsar Sahib,Spiritual,Mumbai,Punjab,North,Senior,Bike,Autumn,6,17389,1560,455,0,6.0,4.2,12090,1
Pondicherry,Heritage,Chennai,Puducherry,South,Solo,Car,Winter,4,18626,2000,600,0,6.0,4.3,10400,1
Magnetic Hill Leh,Nature,Lucknow,Ladakh,North,Solo,Bike,Spring,5,18646,1800,500,0,23.0,4.3,11500,1
Calangute Beach,Beach,Hyderabad,Goa,West,Family,Bus,Winter,5,31414,8750,2250,0,4.0,4.4,55000,0
Shanti Stupa Leh,Spiritual,Hyderabad,Ladakh,North,Friends,Train,Summer,5,49393,3600,1000,0,23.0,4.6,23000,1
Thekkady,Wildlife,Ahmedabad,Kerala,South,Senior,Car,Monsoon,10,35964,3250,845,300,7.0,4.5,41250,0
Khammam,Nature,Lucknow,Telangana,South,Couple,Train,Autumn,7,9649,2380,680,50,4.0,4.0,21470,0
Khanvel,Nature,Hyderabad,Dadra & Nagar Haveli,West,Friends,Car,Autumn,9,75247,3200,900,0,4.0,4.2,36900,1
Ujjain,Spiritual,Jaipur,Madhya Pradesh,Central,Solo,Flight,Spring,8,10670,1400,400,0,9.0,4.5,14400,0
Jaisalmer,Desert,Mumbai,Rajasthan,North,Couple,Train,Monsoon,6,42789,3400,935,250,9.0,4.6,26260,1
Digha,Beach,Lucknow,West Bengal,East,Couple,Train,Autumn,3,20114,3060,850,0,4.0,4.1,11730,1
Senapati,Nature,Kolkata,Manipur,Northeast,Friends,Car,Monsoon,5,29017,2400,700,0,21.0,4.0,15500,1
Goa,Beach,Ahmedabad,Goa,South,Family,Bus,Summer,10,62413,6250,2000,0,5.0,4.5,82500,0
Rajgir,Spiritual,Bangalore,Bihar,East,Solo,Train,Monsoon,5,5595,1100,380,50,11.0,4.2,7450,0
Nashik,Spiritual,Lucknow,Maharashtra,West,Family,Bus,Summer,5,18797,3750,1125,0,4.0,4.2,24375,0
Dudhwa National Park,Wildlife,Bangalore,Uttar Pradesh,North,Friends,Bus,Autumn,2,8540,4000,1100,300,8.0,4.4,10500,0
Satmaliya Deer Sanctuary,Wildlife,Hyderabad,Dadra & Nagar Haveli,West,Senior,Bus,Spring,9,16312,2080,585,100,4.0,4.1,24085,0
Senapati,Nature,Bangalore,Manipur,Northeast,Friends,Flight,Monsoon,5,17939,2400,700,0,21.0,4.0,15500,1
Puri,Spiritual,Mumbai,Odisha,East,Solo,Flight,Autumn,7,7742,1500,450,0,9.0,4.4,13650,0
Kapurthala,Heritage,Delhi,Punjab,North,Solo,Flight,Summer,8,5790,1300,400,50,7.0,4.1,13650,0
Kurukshetra,Spiritual,Bangalore,Haryana,North,Senior,Bike,Winter,6,22355,1560,494,0,4.0,4.2,12324,1
Mussoorie,Hill Station,Kolkata,Uttarakhand,North,Friends,Car,Winter,5,47649,4400,1160,0,7.0,4.3,27800,1
Mawlynnong,Nature,Mumbai,Meghalaya,Northeast,Friends,Bike,Autumn,7,43442,2800,800,0,17.0,4.5,25200,1
Puri,Spiritual,Kolkata,Odisha,East,Couple,Bus,Spring,4,17756,2550,765,0,9.0,4.4,13260,1
Achanakmar,Wildlife,Hyderabad,Chhattisgarh,Central,Couple,Bus,Summer,4,22955,2380,680,200,9.0,4.2,12440,1
Kamakhya Temple,Spiritual,Lucknow,Assam,Northeast,Friends,Car,Spring,7,37940,3000,900,0,14.0,4.6,27300,1
Khajjiar,Nature,Lucknow,Himachal Pradesh,North,Solo,Flight,Summer,4,3796,1600,450,0,12.0,4.4,8200,0
Pawapuri,Spiritual,Pune,Bihar,East,Family,Train,Winter,2,5102,2750,750,0,11.0,4.3,7000,0
Sarnath,Heritage,Bangalore,Uttar Pradesh,North,Friends,Bike,Monsoon,10,64285,3200,900,200,8.0,4.5,41200,1
Kanger Valley,Wildlife,Lucknow,Chhattisgarh,Central,Couple,Flight,Winter,10,24265,2550,680,100,11.0,4.3,32400,0
Dongargarh,Spiritual,Hyderabad,Chhattisgarh,Central,Solo,Bus,Autumn,9,8091,1200,350,0,7.0,4.2,13950,0
Chittorgarh,Heritage,Chennai,Rajasthan,North,Friends,Bus,Monsoon,9,17003,3200,900,250,8.0,4.4,37150,0
Amini Island,Beach,Ahmedabad,Lakshadweep,South,Family,Car,Winter,6,66246,7500,1875,0,20.0,4.3,56250,1
Bishnupur Manipur,Heritage,Mumbai,Manipur,Northeast,Senior,Bus,Autumn,2,2775,1690,520,50,21.0,4.1,4470,0
Old Goa Churches,Heritage,Hyderabad,Goa,West,Couple,Flight,Spring,2,15618,3400,1020,0,4.0,4.5,8840,1
Chettinad,Heritage,Jaipur,Tamil Nadu,South,Friends,Flight,Spring,7,61845,4000,1200,100,7.0,4.4,36500,1
Sohna,Nature,Bangalore,Haryana,North,Senior,Flight,Autumn,7,19285,1820,520,50,2.0,4.0,16430,1
Vikramshila,Heritage,Mumbai,Bihar,East,Friends,Bike,Winter,6,34185,2200,600,50,13.0,4.1,16850,1
Kanger Valley,Wildlife,Kolkata,Chhattisgarh,Central,Friends,Car,Spring,2,12782,3000,800,100,11.0,4.3,7700,1
Mandu,Heritage,Delhi,Madhya Pradesh,Central,Senior,Car,Summer,9,38869,1820,520,100,9.0,4.4,21160,1
Pawapuri,Spiritual,Kolkata,Bihar,East,Senior,Train,Summer,6,17580,1430,390,0,11.0,4.3,10920,1
Ravangla,Nature,Kolkata,Sikkim,Northeast,Friends,Train,Spring,10,59804,3400,900,50,12.0,4.4,43050,1
Sepahijala Wildlife Sanctuary,Wildlife,Lucknow,Tripura,Northeast,Solo,Flight,Summer,3,2782,1300,400,100,22.0,4.2,5200,0
Visakhapatnam,Beach,Ahmedabad,Andhra Pradesh,South,Solo,Train,Monsoon,4,10220,1800,500,0,8.0,4.0,9200,1
Mount Abu,Hill Station,Hyderabad,Rajasthan,North,Solo,Train,Summer,7,20658,1800,520,50,8.0,4.3,16290,1
Gurudongmar Lake,Nature,Pune,Sikkim,Northeast,Senior,Flight,Summer,8,10655,2600,715,0,16.0,4.8,26520,0
Fort Kochi,Heritage,Pune,Kerala,South,Couple,Bus,Autumn,6,52646,4250,1190,50,5.0,4.5,32690,1
Kamakhya Temple,Spiritual,Kolkata,Assam,Northeast,Couple,Bus,Spring,9,23574,2550,765,0,14.0,4.6,29835,0
Kodaikanal,Hill Station,Hyderabad,Tamil Nadu,South,Solo,Bus,Autumn,10,18579,2000,550,50,7.0,4.3,25550,0
Naida Caves,Nature,Hyderabad,Daman & Diu,West,Senior,Bike,Winter,6,30049,2600,715,0,5.0,4.3,19890,1
Tribal Museum DNH,Heritage,Jaipur,Dadra & Nagar Haveli,West,Couple,Train,Spring,10,37743,2550,765,50,4.0,4.0,33200,1
Bhedaghat,Nature,Delhi,Madhya Pradesh,Central,Solo,Train,Autumn,7,24030,1200,400,100,10.0,4.3,11300,1
Dachigam National Park,Wildlife,Kolkata,Jammu & Kashmir,North,Solo,Flight,Autumn,7,36431,2500,650,200,12.0,4.4,22250,1
Khajuraho,Heritage,Chennai,Madhya Pradesh,Central,Family,Bike,Autumn,5,20125,4500,1250,500,10.0,4.6,29250,0
Akshardham Temple Delhi,Spiritual,Ahmedabad,Delhi,North,Solo,Car,Monsoon,4,5244,2000,600,0,5.0,4.6,10400,0
Rann of Kutch,Desert,Jaipur,Gujarat,West,Solo,Bike,Autumn,6,31652,2000,600,100,8.0,4.7,15700,1
Lonavala,Hill Station,Pune,Maharashtra,West,Couple,Flight,Monsoon,4,24620,3400,1020,0,3.0,4.2,17680,1
St Paul's Church Diu,Heritage,Pune,Daman & Diu,West,Senior,Bike,Autumn,10,22464,2600,715,0,5.0,4.3,33150,0
Pobitora,Wildlife,Jaipur,Assam,Northeast,Solo,Bike,Summer,3,14172,1800,500,300,14.0,4.3,7200,1
Statue of Unity,Heritage,Delhi,Gujarat,West,Senior,Bike,Monsoon,9,51734,3250,780,350,7.0,4.4,36620,1
Ariyankuppam Mangroves,Nature,Kolkata,Puducherry,South,Friends,Car,Autumn,7,43070,3600,1100,50,3.0,4.2,32950,1
Gandikota,Heritage,Kolkata,Andhra Pradesh,South,Solo,Flight,Spring,10,14699,1300,350,50,7.0,4.4,16550,0
Hirwa Van Garden,Nature,Chennai,Dadra & Nagar Haveli,West,Friends,Train,Monsoon,10,82101,3000,900,30,4.0,4.0,39030,1
Sepahijala Wildlife Sanctuary,Wildlife,Mumbai,Tripura,Northeast,Friends,Bike,Winter,3,12107,2600,800,100,22.0,4.2,10300,1
Bhitarkanika,Wildlife,Delhi,Odisha,East,Friends,Bike,Winter,6,19322,3000,900,200,9.0,4.5,23600,0
Mawlynnong,Nature,Lucknow,Meghalaya,Northeast,Solo,Flight,Autumn,10,22506,1400,400,0,17.0,4.5,18000,1
Raipur,City,Hyderabad,Chhattisgarh,Central,Senior,Train,Winter,9,41549,1950,585,0,8.0,3.9,22815,1
Sundarbans,Wildlife,Ahmedabad,West Bengal,East,Friends,Bike,Monsoon,6,55012,5000,1300,500,5.0,4.5,38300,1
Simlipal National Park,Wildlife,Delhi,Odisha,East,Senior,Bus,Summer,4,23612,2600,715,300,9.0,4.5,13560,1
Gurudwara Nada Sahib,Spiritual,Ahmedabad,Chandigarh,North,Friends,Train,Summer,7,23926,3600,1000,0,5.0,4.4,32200,0
Nagoa Beach Diu,Beach,Bangalore,Daman & Diu,West,Solo,Bus,Monsoon,3,7901,2500,650,0,5.0,4.1,9450,0
Kasol,Nature,Kolkata,Himachal Pradesh,North,Senior,Bus,Summer,9,16446,1950,650,0,13.0,4.4,23400,0
Morni Hills,Hill Station,Chennai,Haryana,North,Friends,Train,Spring,5,12134,3000,800,0,3.0,4.1,19000,0
Diu Fort,Heritage,Kolkata,Daman & Diu,West,Family,Car,Winter,2,6485,5000,1375,50,5.0,4.4,12800,0
Damanganga River,Nature,Ahmedabad,Daman & Diu,West,Couple,Train,Autumn,5,18480,3060,850,0,4.0,4.0,19550,0
Dwarka,Spiritual,Mumbai,Gujarat,West,Solo,Car,Summer,5,11475,1200,400,0,9.0,4.4,8000,1
Mon Nagaland,Heritage,Hyderabad,Nagaland,Northeast,Family,Bike,Monsoon,4,23787,3500,1000,0,24.0,4.4,18000,1
Nagarjuna Sagar,Nature,Pune,Andhra Pradesh,South,Family,Car,Winter,6,10946,3750,1000,100,5.0,4.2,28600,0
Thekkady,Wildlife,Chennai,Kerala,South,Senior,Bike,Spring,4,24408,3250,845,300,7.0,4.5,16680,1
Shillong,Hill Station,Jaipur,Meghalaya,Northeast,Friends,Bus,Autumn,5,17980,3600,1000,0,16.0,4.4,23000,0
Warangal,Heritage,Chennai,Telangana,South,Solo,Flight,Spring,10,22276,1200,400,150,3.0,4.2,16150,1
Jaipur,Heritage,Hyderabad,Rajasthan,North,Couple,Train,Summer,6,8911,3060,850,300,6.0,4.4,23760,0
Panhala Fort,Heritage,Lucknow,Maharashtra,West,Solo,Train,Monsoon,10,8476,1500,450,50,6.0,4.2,19550,0
Gurudongmar Lake,Nature,Bangalore,Sikkim,Northeast,Senior,Train,Summer,5,30358,2600,715,0,16.0,4.8,16575,1
Pangong Lake,Nature,Kolkata,Ladakh,North,Friends,Train,Summer,2,14010,5000,1200,0,24.0,4.8,12400,1
Chitrakote Falls,Nature,Ahmedabad,Chhattisgarh,Central,Friends,Bike,Summer,4,9114,2400,800,50,12.0,4.4,12850,0
Neil Island,Beach,Mumbai,Andaman & Nicobar,South,Friends,Bus,Spring,2,16708,5000,1400,0,14.0,4.6,12800,1
Gir National Park,Wildlife,Mumbai,Gujarat,West,Solo,Flight,Summer,2,6155,2500,600,600,7.0,4.6,6800,0
INS Khukri Memorial,Heritage,Hyderabad,Daman & Diu,West,Solo,Flight,Spring,6,20844,2000,550,0,5.0,4.2,15300,1
Shimla,Hill Station,Bangalore,Himachal Pradesh,North,Couple,Car,Summer,2,9980,3740,986,50,10.0,4.5,9502,1
Fatehpur Sikri,Heritage,Ahmedabad,Uttar Pradesh,North,Friends,Car,Spring,2,16928,2800,800,500,4.0,4.5,7700,1
Valley of Flowers,Nature,Chennai,Uttarakhand,North,Couple,Bus,Summer,2,15075,3060,850,150,12.0,4.8,7970,1
Murlen National Park,Wildlife,Kolkata,Mizoram,Northeast,Family,Flight,Spring,10,30694,3500,1000,200,26.0,4.3,45200,0
Pinjore Gardens Chandigarh,Heritage,Chennai,Chandigarh,North,Family,Bike,Winter,5,37716,4500,1375,30,5.0,4.3,29405,1
Netarhat,Hill Station,Hyderabad,Jharkhand,East,Family,Bike,Summer,5,36140,3000,1000,0,9.0,4.3,20000,1
Belur Halebidu,Heritage,Pune,Karnataka,South,Family,Bus,Monsoon,10,24490,3500,1000,200,6.0,4.5,45200,0
Nubra Valley,Adventure,Pune,Ladakh,North,Family,Train,Spring,4,26938,5000,1375,0,24.0,4.7,25500,1
Pulicat Lake,Nature,Kolkata,Andhra Pradesh,South,Senior,Flight,Winter,9,27175,1560,455,0,5.0,4.0,18135,1
Murlen National Park,Wildlife,Ahmedabad,Mizoram,Northeast,Senior,Bus,Autumn,6,17297,1820,520,200,26.0,4.3,14240,1
Vikramshila,Heritage,Pune,Bihar,East,Family,Bike,Winter,9,29038,2750,750,50,13.0,4.1,31550,0
Panaji,Heritage,Ahmedabad,Goa,West,Senior,Flight,Summer,10,58267,3250,910,50,4.0,4.3,41650,1
Kesaria,Heritage,Delhi,Bihar,East,Family,Train,Winter,10,58243,2500,750,50,11.0,4.1,32550,1
Jampui Hills,Hill Station,Chennai,Tripura,Northeast,Solo,Flight,Monsoon,5,12984,1300,400,0,24.0,4.3,8500,1
Lepakshi,Heritage,Hyderabad,Andhra Pradesh,South,Couple,Bike,Monsoon,8,8796,2040,595,50,4.0,4.3,21130,0
Statue of Unity,Heritage,Pune,Gujarat,West,Family,Flight,Monsoon,9,110592,6250,1500,350,7.0,4.4,70100,1
Yuksom,Adventure,Pune,Sikkim,Northeast,Friends,Train,Autumn,5,43189,3200,900,0,13.0,4.4,20500,1
Sri Aurobindo Ashram,Spiritual,Pune,Puducherry,South,Solo,Flight,Winter,3,3129,2000,600,0,3.0,4.6,7800,0
Tezpur,Heritage,Lucknow,Assam,Northeast,Couple,Bus,Summer,2,3706,2550,765,50,15.0,4.2,6680,0
Bangaram Island,Beach,Hyderabad,Lakshadweep,South,Couple,Train,Spring,7,101252,10200,2040,0,20.0,4.8,85680,1
Sambalpur,Heritage,Kolkata,Odisha,East,Friends,Bus,Spring,4,30529,3000,900,50,9.0,4.2,15650,1
Along,Adventure,Pune,Arunachal Pradesh,Northeast,Senior,Bike,Spring,5,13316,1820,520,0,22.0,4.1,11700,1
Wokha,Nature,Pune,Nagaland,Northeast,Friends,Flight,Monsoon,9,11841,2600,800,0,22.0,4.1,30600,0
Khajjiar,Nature,Hyderabad,Himachal Pradesh,North,Family,Bike,Spring,2,6983,4000,1125,0,12.0,4.4,10250,0
Konkan Coast,Beach,Mumbai,Maharashtra,West,Friends,Bus,Summer,10,110851,4000,1200,0,5.0,4.4,52000,1
Arambol,Beach,Bangalore,Goa,West,Couple,Train,Autumn,2,6418,3400,1020,0,5.0,4.3,8840,0
Chitrakoot,Spiritual,Chennai,Uttar Pradesh,North,Couple,Bike,Spring,5,27698,2210,680,0,8.0,4.3,14450,1
Rock Garden Chandigarh,Heritage,Kolkata,Chandigarh,North,Couple,Train,Winter,4,14406,3400,1020,50,5.0,4.5,17730,0
Pelling,Hill Station,Delhi,Sikkim,Northeast,Solo,Bus,Winter,5,16737,1800,520,50,17.0,4.5,11650,1
Lansdowne,Hill Station,Pune,Uttarakhand,North,Friends,Car,Spring,5,7679,3200,900,0,5.0,4.3,20500,0
Munger,Heritage,Ahmedabad,Bihar,East,Family,Train,Winter,2,2936,3000,875,50,12.0,4.0,7800,0
Rewari,Heritage,Lucknow,Haryana,North,Couple,Flight,Autumn,9,33606,2040,595,50,2.0,3.9,23765,1
Mahabaleshwar,Hill Station,Lucknow,Maharashtra,West,Friends,Train,Autumn,5,33842,4400,1200,0,4.0,4.3,28000,1
Saputara,Hill Station,Mumbai,Gujarat,West,Solo,Flight,Summer,6,23377,1500,450,50,6.0,4.2,11750,1
Munger,Heritage,Ahmedabad,Bihar,East,Solo,Car,Summer,3,7874,1200,350,50,12.0,4.0,4700,1
Jodhpur,Heritage,Jaipur,Rajasthan,North,Family,Bike,Summer,3,22557,4750,1375,300,7.0,4.4,18675,1
Dimapur,Heritage,Lucknow,Nagaland,Northeast,Solo,Car,Monsoon,4,12304,1500,450,50,21.0,4.0,7850,1
Capitol Complex,Heritage,Kolkata,Chandigarh,North,Couple,Train,Summer,5,19562,3400,1020,200,5.0,4.4,22300,0
Unakoti,Heritage,Chennai,Tripura,Northeast,Couple,Flight,Winter,10,12840,2040,595,50,23.0,4.4,26400,0
Bodh Gaya,Spiritual,Mumbai,Bihar,East,Solo,Train,Monsoon,4,8464,1200,400,0,10.0,4.6,6400,1
Bomdila,Hill Station,Kolkata,Arunachal Pradesh,Northeast,Friends,Bus,Autumn,7,22590,3000,800,0,16.0,4.2,26600,0
Kohima,Heritage,Lucknow,Nagaland,Northeast,Family,Bike,Winter,8,59775,4250,1250,100,19.0,4.3,44100,1
Mumbai,City,Hyderabad,Maharashtra,West,Couple,Car,Summer,6,40476,5950,1530,0,5.0,4.3,44880,0
Wokha,Nature,Hyderabad,Nagaland,Northeast,Friends,Bike,Winter,6,37156,2600,800,0,22.0,4.1,20400,1
Ayodhya,Spiritual,Hyderabad,Uttar Pradesh,North,Solo,Car,Autumn,7,4935,1300,420,0,7.0,4.4,12040,0
Aizawl,Hill Station,Delhi,Mizoram,Northeast,Senior,Train,Autumn,9,30817,2080,624,0,20.0,4.1,24336,1
Mahabubnagar,Nature,Kolkata,Telangana,South,Friends,Train,Summer,2,10188,2600,800,50,3.0,4.0,6850,1
Wayanad,Wildlife,Chennai,Kerala,South,Solo,Train,Spring,4,16932,2200,600,100,8.0,4.5,11300,1
Ghoghla Beach,Beach,Ahmedabad,Daman & Diu,West,Couple,Bus,Autumn,3,21028,3400,935,0,5.0,4.2,13005,1
Cherrapunjee,Nature,Delhi,Meghalaya,Northeast,Senior,Train,Autumn,4,4368,2080,624,50,17.0,4.6,10866,0
Magnetic Hill Leh,Nature,Lucknow,Ladakh,North,Family,Train,Winter,2,4200,4500,1250,0,23.0,4.3,11500,0
Bishnupur Bengal,Heritage,Lucknow,West Bengal,East,Couple,Flight,Winter,3,8176,2380,680,200,4.0,4.4,9380,0
Jamshedpur,City,Delhi,Jharkhand,East,Senior,Train,Autumn,7,25945,1950,585,0,7.0,4.0,17745,1
Khanvel,Nature,Lucknow,Dadra & Nagar Haveli,West,Friends,Bike,Autumn,6,51713,3200,900,0,4.0,4.2,24600,1
Palakkad,Nature,Bangalore,Kerala,South,Friends,Train,Spring,3,9982,3000,900,50,5.0,4.2,11750,0
Vaishno Devi,Spiritual,Kolkata,Jammu & Kashmir,North,Couple,Bike,Monsoon,4,20151,3400,935,0,11.0,4.8,17340,1
Bhedaghat,Nature,Ahmedabad,Madhya Pradesh,Central,Family,Bus,Monsoon,6,9987,3000,1000,100,10.0,4.3,24100,0
Capitol Complex,Heritage,Delhi,Chandigarh,North,Senior,Car,Summer,5,37187,2600,780,200,5.0,4.4,17100,1
Yanam,Heritage,Ahmedabad,Puducherry,South,Senior,Bus,Spring,5,10732,1950,585,0,6.0,4.0,12675,0
Ramappa Temple,Heritage,Ahmedabad,Telangana,South,Solo,Bike,Summer,2,2335,1400,400,200,4.0,4.5,3800,0
Tirupati,Spiritual,Kolkata,Andhra Pradesh,South,Solo,Car,Monsoon,9,13892,1500,400,300,6.0,4.5,17400,0
Gangtok,Hill Station,Ahmedabad,Sikkim,Northeast,Solo,Bus,Autumn,8,34700,2000,580,100,16.0,4.5,20740,1
Dudhwa National Park,Wildlife,Pune,Uttar Pradesh,North,Solo,Flight,Spring,6,18381,2000,550,300,8.0,4.4,15600,1
Lonavala,Hill Station,Kolkata,Maharashtra,West,Solo,Flight,Autumn,6,9797,2000,600,0,3.0,4.2,15600,0
Faridabad,Nature,Ahmedabad,Haryana,North,Couple,Train,Spring,4,17708,2550,765,50,1.0,3.9,13310,1
Munnar,Nature,Bangalore,Kerala,South,Couple,Bike,Autumn,9,42766,4250,1020,100,6.0,4.5,47530,0
Bangaram Island,Beach,Ahmedabad,Lakshadweep,South,Solo,Bike,Autumn,7,65260,6000,1200,0,20.0,4.8,50400,1
Rewari,Heritage,Kolkata,Haryana,North,Family,Car,Monsoon,8,27905,3000,875,50,2.0,3.9,31050,0
Bhedaghat,Nature,Lucknow,Madhya Pradesh,Central,Friends,Car,Monsoon,8,9503,2400,800,100,10.0,4.3,25700,0
Port Blair,Heritage,Bangalore,Andaman & Nicobar,South,Solo,Car,Autumn,7,36173,2500,700,50,14.0,4.2,22450,1
Andaman Islands,Island,Pune,Andaman & Nicobar,East,Friends,Flight,Winter,2,10233,8000,1800,500,3.0,4.7,20100,0
Sanchi,Heritage,Delhi,Madhya Pradesh,Central,Solo,Train,Autumn,9,7421,1400,400,250,8.0,4.4,16450,0
Namdapha,Wildlife,Bangalore,Arunachal Pradesh,Northeast,Friends,Bus,Winter,9,27913,3200,900,200,24.0,4.5,37100,0
Hundru Falls,Nature,Hyderabad,Jharkhand,East,Couple,Bike,Autumn,9,21755,2210,680,50,5.0,4.3,26060,0
Warangal,Heritage,Pune,Telangana,South,Family,Car,Monsoon,5,9931,3000,1000,150,3.0,4.2,20150,0
Sirpur,Heritage,Mumbai,Chhattisgarh,Central,Family,Train,Monsoon,2,6432,3000,875,50,8.0,4.2,7800,0
Ooty,Hill Station,Hyderabad,Tamil Nadu,South,Solo,Bus,Winter,8,39492,1800,500,80,7.0,4.3,18480,1
Pinjore Gardens,Heritage,Pune,Haryana,North,Couple,Bike,Summer,2,7863,2380,680,30,3.0,4.2,6150,1
Thekkady,Wildlife,Jaipur,Kerala,South,Family,Bike,Summer,5,70816,6250,1625,300,7.0,4.5,39675,1
Mawsynram,Nature,Hyderabad,Meghalaya,Northeast,Solo,Car,Autumn,10,33976,1400,400,0,17.0,4.4,18000,1
Dudhwa National Park,Wildlife,Ahmedabad,Uttar Pradesh,North,Family,Flight,Spring,8,109729,5000,1375,300,8.0,4.4,51300,1
Lunglei,Heritage,Ahmedabad,Mizoram,Northeast,Couple,Bike,Spring,6,10389,2210,680,0,25.0,4.0,17340,0
Ayodhya,Spiritual,Jaipur,Uttar Pradesh,North,Family,Bike,Spring,4,34180,3250,1050,0,7.0,4.4,17200,1
Gulmarg,Adventure,Chennai,Jammu & Kashmir,North,Couple,Flight,Monsoon,5,77919,5950,1360,500,14.0,4.7,37050,1
Bangaram Island,Beach,Bangalore,Lakshadweep,South,Friends,Flight,Autumn,8,225411,12000,2400,0,20.0,4.8,115200,1
Delhi,Heritage,Chennai,Delhi,North,Solo,Train,Summer,4,8832,2500,700,300,5.0,4.2,13100,0
Jaipur,Heritage,Jaipur,Rajasthan,North,Family,Flight,Spring,6,52467,4500,1250,300,6.0,4.4,34800,1
Palamu Fort,Heritage,Kolkata,Jharkhand,East,Solo,Train,Summer,9,23432,1300,400,50,6.0,4.1,15350,1
Yanam,Heritage,Delhi,Puducherry,South,Friends,Flight,Summer,5,38486,3000,900,0,6.0,4.0,19500,1
Mokokchung,Heritage,Jaipur,Nagaland,Northeast,Couple,Train,Spring,2,8456,2380,680,0,22.0,4.2,6120,1
Jolly Buoy Island,Beach,Delhi,Andaman & Nicobar,South,Friends,Bus,Autumn,3,23333,3000,600,500,14.0,4.6,11300,1
Prayagraj,Spiritual,Mumbai,Uttar Pradesh,North,Friends,Train,Monsoon,10,77958,3200,900,0,7.0,4.4,41000,1
Chandni Chowk,Heritage,Bangalore,Delhi,North,Solo,Bus,Spring,10,36421,2000,600,0,5.0,4.3,26000,1
St Paul's Church Diu,Heritage,Chennai,Daman & Diu,West,Family,Flight,Spring,2,9451,5000,1375,0,5.0,4.3,12750,0
Rajgir,Spiritual,Chennai,Bihar,East,Friends,Train,Winter,3,15793,2200,760,50,11.0,4.2,8930,1
